,Ticker,Stock Price,Market Capitalization,Number of Shares to Buy
185,FITB,39.957,28559656723,4
186,FLIR,59.45,7984773492,3
187,FLS,40.26,5442590828,4
188,FLT,297.85,24048671828,0
189,FMC,114.58,14895988271,1
190,FOX,36.39,22211837599,5
191,FOXA,38.84,22477530427,5
192,FRC,179.16,31094715381,1
193,FRT,105.13,8226760910,1
194,FTI,7.74,3427590244,25
195,FTNT,209.733,33560979754,0
196,FTV,72.668,24922959102,2
197,GD,184.22,52256144541,1
198,GE,13.847,124772261325,14
199,GILD,67.176,86228222881,2
200,GIS,62.9,38051923153,3
201,GL,104.77,11869627495,1
202,GLW,45.8,35144033936,4
203,GM,59.43,87924403619,3
204,GOOG,2277.04,1534037845538,0
205,GOOGL,2345.93,1549608779087,0
206,GPC,122.97,17435753209,1
207,GPN,219.0,65199055933,0
208,GPS,33.49,12478637446,5
209,GRMN,142.86,27334744519,1
210,GS,351.07,121179686397,0
211,GWW,402.32,21385787899,0
212,HAL,21.919,19355263611,9
213,HAS,102.017,13770065776,1
214,HBAN,17.047,17205787681,11
215,HBI,20.907,7055165020,9
216,HCA,200.62,66844056701,0
217,HD,327.28,358801943360,0
218,HES,72.83,23147187902,2
219,HFC,36.57,5898071420,5
220,HIG,67.0,23693480145,2
221,HII,214.49,8547380018,0
222,HLT,131.42,35539883262,1
223,HOLX,77.85,19526386681,2
224,HON,237.07,166345292240,0
225,HPE,16.23,21479528408,12
226,HPQ,34.71,43152267061,5
227,HRB,22.4,4095963171,8
228,HRL,47.762,25324205813,4
229,HSIC,73.12,10259410453,2
230,HST,17.891,12636010603,11
231,HSY,161.04,32951416867,1
232,HUM,436.87,56822250387,0
233,HWM,32.94,14240332302,6
234,IBM,135.93,122337457328,1
235,ICE,123.32,68630721618,1
236,IDXX,523.2,44297429473,0
237,IEX,219.0,16857605725,0
238,IFF,141.68,36217145914,1
239,ILMN,418.23,59883695878,0
240,INCY,84.24,18689476453,2
241,INFO,107.67,44812697676,1
242,INTC,65.76,273999895096,3
243,INTU,420.44,115610557805,0
244,IP,56.8,21994764245,3
245,IPG,30.6,12017884800,6
246,IPGP,227.922,12221680018,0
247,IQV,210.02,41587790591,0
248,IR,50.3,20832463911,3
249,IRM,39.784,11468439511,4
250,ISRG,798.02,93769615169,0
251,IT,193.03,16998530539,1
252,ITW,222.0,72162416015,0
253,IVZ,26.606,12058938314,7
254,J,137.708,17179217318,1
255,JBHT,177.52,17965419964,1
256,JCI,62.49,44963206445,3
257,JKHY,159.53,11926139560,1
258,JNJ,164.54,427957212703,1
259,JNPR,26.67,8557627137,7
260,JPM,151.64,462499075926,1
261,K,62.952,22148893396,3
262,KEY,21.4,20898464580,9
263,KEYS,147.44,27172709740,1
264,KHC,41.584,50191729209,4
265,KIM,20.493,8862855622,9
266,KLAC,337.348,53028607433,0
267,KMB,141.42,47064681964,1
268,KMI,17.009,39506302142,11
269,KMX,135.03,21490242415,1
270,KO,54.24,233446495333,3
271,KR,38.65,29048571702,5
272,KSS,61.6,9916611745,3
273,KSU,271.73,24431391598,0
274,L,56.012,14523707216,3
275,LB,68.3,19467474050,2
276,LDOS,100.704,14450274188,1
277,LEG,49.41,6599085788,4
278,LEN,104.06,32519354688,1
279,LH,257.33,24786822287,0
280,LHX,216.64,44768395636,0
281,LIN,296.02,153420376977,0
282,LKQ,44.46,13859290125,4
283,LLY,188.82,180840982542,1
284,LMT,393.721,110698215045,0
285,LNC,67.2,12719801185,2
286,LNT,56.62,13980462237,3
287,LOW,202.75,146978607399,0
288,LRCX,661.3,96019249788,0
289,LUV,64.21,37970840514,3
290,LVS,62.97,48388840327,3
291,LW,79.47,11681419046,2
292,LYB,108.28,35956230148,1
293,LYV,85.98,18390184264,2
294,MA,393.35,386545522373,0
295,MAA,152.65,17011027961,1
296,MAR,156.327,50275704250,1
297,MAS,64.712,16700171356,3
298,MCD,230.95,173236760586,0
299,MCHP,157.9,43044182691,1
300,MCK,200.22,31579519248,0
301,MCO,317.14,60425000083,0
302,MDLZ,60.579,84113678485,3
303,MDT,129.53,174338502553,1
304,MET,63.05,55925771805,3
305,MGM,41.9,20692322856,4
306,MHK,208.5,14575577764,0
307,MKC,91.253,23505482992,2
308,MKTX,549.78,20563170411,0
309,MLM,355.6,22063377623,0
310,MMC,129.98,66263366459,1
311,MMM,196.97,115653088695,1
312,MNST,98.84,51098526490,2
313,MO,51.874,98522774774,3
314,MOS,33.47,12981647011,5
315,MPC,55.76,35129533675,3
316,MRK,76.7,194970140014,2
317,MRO,11.2,8979042452,17
318,MS,82.0,151770659376,2
319,MSCI,477.98,39877746061,0
320,MSFT,256.6,1957938540546,0
321,MSI,188.14,32855090006,1
322,MTB,162.28,20692035257,1
323,MTD,1271.37,29258555759,0
324,MU,94.64,104010312001,2
325,MXIM,98.85,25585310285,2
326,MYL,16.55,8815071470,11
327,NBL,8.76,4153309026,22
328,NCLH,30.39,6419513247,6
329,NDAQ,161.91,26477396712,1
330,NEE,80.16,161631386275,2
331,NEM,62.76,49991716163,3
332,NFLX,563.56,247781480095,0
333,NI,25.87,9892122264,7
334,NKE,137.827,216295501382,1
335,NLOK,22.0,12616838089,9
336,NLSN,25.903,9516522073,7
337,NOC,349.7,57650948431,0
338,NOV,13.921,5560856508,14
339,NOW,567.58,110947074941,0
340,NRG,38.68,9642424541,5
341,NSC,277.05,70547681754,0
342,NTAP,79.64,17287644106,2
343,NTRS,110.97,23343446217,1
344,NUE,81.72,24630581001,2
345,NVDA,614.84,395584169213,0
346,NVR,4929.4,18562601426,0
347,NWL,27.268,11567332474,7
348,NWS,25.0,15571650572,7
349,NWSA,27.463,15648984692,7
350,O,67.31,25272902771,2
351,ODFL,251.03,29624851087,0
352,OKE,51.639,23743155610,3
353,OMC,80.87,17354147388,2
354,ORCL,80.413,225040660043,2
355,ORLY,524.09,37007204852,0
356,OTIS,73.6,31406405380,2
357,OXY,25.556,23963893904,7
358,PAYC,405.5,23448166933,0
359,PAYX,96.92,36399624476,2
360,PBCT,18.34,8074384407,10
361,PCAR,96.68,33579127062,2
362,PEAK,34.048,18390761333,5
363,PEG,65.09,32611513811,3
364,PEP,143.38,204084296843,1
365,PFE,38.6,215568970784,5
366,PFG,63.059,17661531683,3
367,PG,140.264,342490589761,1
368,PGR,101.48,57296886350,1
369,PH,334.81,41517617134,0
370,PHM,54.42,14773040782,3
371,PKG,138.92,13096055238,1
372,PKI,138.3,15391888332,1
373,PLD,113.8,81719685963,1
374,PM,92.04,143732397383,2
375,PNC,180.63,76768205216,1
376,PNR,64.86,10463662541,3
377,PNW,86.627,9821885670,2
378,PPG,156.31,37207251261,1
379,PPL,29.316,23201925267,6
380,PRGO,41.26,5532965038,4
381,PRU,100.02,40012054660,1
382,PSA,275.12,48119871612,0
383,PSX,81.81,35943306281,2
384,PVH,113.215,7954276554,1
385,PWR,97.39,13647109840,2
386,PXD,153.04,33537340800,1
387,PYPL,268.76,314646769741,0
388,QCOM,135.011,156794304001,1
389,QRVO,196.17,22084936705,1
390,RCL,89.71,22823980504,2
391,RE,269.55,13251827451,0
392,REG,59.23,10042577602,3
393,REGN,495.67,52413597924,0
394,RF,21.26,20943645890,9
395,RHI,85.407,9865728444,2
396,RJF,133.35,18386766225,1
397,RL,127.74,9580549932,1
398,RMD,211.53,30578829133,0
399,ROK,265.06,30455319283,0
400,ROL,35.992,17564182069,5
401,ROP,432.06,45199005007,0
402,ROST,126.988,46988327772,1
403,RSG,103.7,34466685357,1
404,RTX,81.38,119488066706,2
405,SBAC,285.12,32162890943,0
406,SBUX,120.4,136579703646,1
407,SCHW,68.54,129153796618,2
408,SEE,46.663,7396617189,4
409,SHW,257.32,23758739955,0
410,SIVB,531.6,26452830612,0
411,SJM,134.2,14656157753,1
412,SLB,27.546,39500263082,7
413,SLG,73.01,4990186493,2
414,SNA,240.419,12957501367,0
415,SNPS,271.876,41082778895,0
416,SO,64.9,67842456235,3
417,SPG,117.772,38930097041,1
418,SPGI,389.9,89786274125,0
419,SRE,141.76,42102407350,1
420,STE,210.09,18230700630,0
421,STT,89.11,31429617173,2
422,STX,82.67,19553622457,2
423,STZ,228.62,44272437974,0
424,SWK,209.64,32778898171,0
425,SWKS,195.98,32491453481,1
426,SYF,42.31,25302647961,4
427,SYK,257.52,95419057358,0
428,SYY,83.64,42927327211,2
429,T,30.97,213426938674,6
430,TAP,53.8,10549433847,3
431,TDG,661.17,35679462373,0
432,TDY,442.499,16239626936,0
433,TEL,134.67,44552709705,1
434,TFC,60.57,81443644100,3
435,TFX,437.52,20157065054,0
436,TGT,209.56,103346981234,0
437,TIF,132.38,16635032782,1
438,TJX,71.53,83558999693,2
439,TMO,481.57,196054258436,0
440,TMUS,130.45,168885060462,1
441,TPR,45.87,13157995312,4
442,TROW,181.95,40512663067,1
443,TRV,157.19,40335020002,1
444,TSCO,181.34,21249615326,1
445,TSN,78.95,28518005931,2
446,TT,175.8,40974621043,1
447,TTWO,183.38,21550003732,1
448,TWTR,72.08,56066870435,2
449,TXN,199.756,177796802862,0
450,TXT,61.43,13825682852,3
451,TYL,461.96,18904882759,0
452,UA,18.49,9042984074,10
453,UAA,22.72,8959767902,8
454,UAL,56.85,19301570053,3
455,UDR,45.58,13644903140,4
456,UHS,140.91,11725140653,1
457,ULTA,344.74,19196477654,0
458,UNH,392.45,360331457427,0
459,UNM,29.357,6106134757,6
460,UNP,224.676,154447686271,0
461,UPS,177.52,160226856569,1
462,URI,341.74,23881388333,0
463,USB,59.74,89323592178,3
464,V,229.97,512444454588,0
465,VAR,180.65,16606222303,1
466,VFC,86.61,34153448692,2
467,VIAC,41.47,26549569917,4
468,VLO,74.95,30348213444,2
469,VMC,179.27,23341179325,1
470,VNO,45.3,8648859471,4
471,VRSK,187.75,30193443535,1
472,VRSN,206.4,24027051555,0
473,VRTX,222.71,56741086218,0
474,VTR,56.4,21364326054,3
475,VZ,59.736,247601550203,3
476,WAB,81.72,15596291080,2
477,WAT,308.41,18532699700,0
478,WBA,56.1,48974150921,3
479,WDC,71.52,21210550457,2
480,WEC,95.13,30103290741,2
481,WELL,78.02,31910080911,2
482,WFC,43.92,178832777840,4
483,WHR,235.6,14915084183,0
484,WLTW,246.8,31570912353,0
485,WM,138.47,57263792964,1
486,WMB,24.76,29732385082,7
487,WMT,140.69,396920916141,1
488,WRB,81.01,14665056381,2
489,WRK,54.16,14656571259,3
490,WST,309.44,22817786645,0
491,WU,26.0,10585107490,7
492,WY,38.44,29788237216,5
493,WYNN,130.21,15364683075,1
494,XEL,68.91,37516836260,2
495,XLNX,127.48,30812625388,1
496,XOM,58.39,250140560845,3
497,XRAY,66.5,14397382704,2
498,XRX,25.72,4892065173,7
499,XYL,110.45,19678117337,1
500,YUM,122.705,35579094852,1
501,ZBH,173.916,36095792593,1
502,ZBRA,521.76,27078259670,0
503,ZION,56.38,9333707426,3
504,ZTS,168.42,81105831194,1
